nohup: ignoring input
Starting Power Logger...
2026-02-07 11:06:29.211835: 5323
2026-02-07 11:06:30.213462: 5223
2026-02-07 11:06:31.215067: 5323
2026-02-07 11:06:32.216708: 5323
2026-02-07 11:06:33.218315: 5323
2026-02-07 11:06:34.219958: 5323
2026-02-07 11:06:35.221594: 5223
2026-02-07 11:06:36.223225: 5122
2026-02-07 11:06:37.224853: 5122
2026-02-07 11:06:38.226460: 5122
2026-02-07 11:06:39.228151: 5223
2026-02-07 11:06:40.229770: 5323
2026-02-07 11:06:41.231421: 5223
2026-02-07 11:06:42.233067: 5223
2026-02-07 11:06:43.234715: 5323
2026-02-07 11:06:44.236426: 5323
2026-02-07 11:06:45.238025: 5323
2026-02-07 11:06:46.239633: 5323
2026-02-07 11:06:47.241228: 5323
2026-02-07 11:06:48.242824: 5323
2026-02-07 11:06:49.244453: 5323
2026-02-07 11:06:50.246064: 5323
2026-02-07 11:06:51.247672: 5223
2026-02-07 11:06:52.248939: 5323
2026-02-07 11:06:53.250601: 5323
2026-02-07 11:06:54.252196: 5323
2026-02-07 11:06:55.253827: 5323
2026-02-07 11:06:56.255417: 5323
2026-02-07 11:06:57.257064: 5323
2026-02-07 11:06:58.258685: 5323
2026-02-07 11:06:59.260393: 5323
2026-02-07 11:07:00.261636: 5323
2026-02-07 11:07:01.263281: 6190
2026-02-07 11:07:02.264920: 5707
2026-02-07 11:07:03.266554: 5323
2026-02-07 11:07:04.268191: 5323
2026-02-07 11:07:05.269844: 5323
2026-02-07 11:07:06.271452: 5323
2026-02-07 11:07:07.273091: 5223
2026-02-07 11:07:08.274731: 5223
2026-02-07 11:07:09.276380: 5323
2026-02-07 11:07:10.277679: 5323
2026-02-07 11:07:11.279305: 5707
2026-02-07 11:07:12.280957: 5323
2026-02-07 11:07:13.282193: 5323
2026-02-07 11:07:14.283770: 5122
2026-02-07 11:07:15.285400: 5323
2026-02-07 11:07:16.287052: 5323
2026-02-07 11:07:17.288702: 5122
2026-02-07 11:07:18.289956: 5323
2026-02-07 11:07:19.291592: 5122
2026-02-07 11:07:20.293190: 5323
2026-02-07 11:07:21.294844: 5323
2026-02-07 11:07:22.296487: 5323
2026-02-07 11:07:23.297717: 5323
2026-02-07 11:07:24.299343: 5323
2026-02-07 11:07:25.300948: 5122
2026-02-07 11:07:26.302574: 5323
2026-02-07 11:07:27.304178: 5223
2026-02-07 11:07:28.305791: 5323
2026-02-07 11:07:29.307416: 5323
2026-02-07 11:07:30.309029: 5122
2026-02-07 11:07:31.310651: 5323
2026-02-07 11:07:32.312270: 5323
2026-02-07 11:07:33.313888: 5323
2026-02-07 11:07:34.315493: 5323
2026-02-07 11:07:35.317123: 5323
2026-02-07 11:07:36.318741: 5323
2026-02-07 11:07:37.320430: 5323
2026-02-07 11:07:38.321657: 5323
2026-02-07 11:07:39.323281: 5223
2026-02-07 11:07:40.324893: 5323
2026-02-07 11:07:41.326516: 5323
2026-02-07 11:07:42.328119: 5223
2026-02-07 11:07:43.329338: 5323
2026-02-07 11:07:44.330945: 5323
2026-02-07 11:07:45.332555: 5323
2026-02-07 11:07:46.334206: 5323
2026-02-07 11:07:47.335858: 5323
2026-02-07 11:07:48.337469: 5122
2026-02-07 11:07:49.339100: 5223
2026-02-07 11:07:50.340730: 5223
2026-02-07 11:07:51.342366: 5323
2026-02-07 11:07:52.344051: 6292
2026-02-07 11:07:53.345656: 5323
2026-02-07 11:07:54.347276: 5122
2026-02-07 11:07:55.348911: 5323
2026-02-07 11:07:56.350559: 5223
2026-02-07 11:07:57.352160: 5323
2026-02-07 11:07:58.353825: 5323
2026-02-07 11:07:59.355473: 5223
2026-02-07 11:08:00.357209: 5323
2026-02-07 11:08:01.358810: 6190
2026-02-07 11:08:02.360478: 5707
2026-02-07 11:08:03.362131: 5222
2026-02-07 11:08:04.363752: 5323
2026-02-07 11:08:05.365389: 5323
2026-02-07 11:08:06.367008: 5323
2026-02-07 11:08:07.368671: 5323
2026-02-07 11:08:08.370331: 5323
2026-02-07 11:08:09.371971: 5323
2026-02-07 11:08:10.373629: 5323
2026-02-07 11:08:11.375245: 5323
2026-02-07 11:08:12.376866: 5323
2026-02-07 11:08:13.378495: 5323
2026-02-07 11:08:14.380131: 5323
2026-02-07 11:08:15.381756: 5323
2026-02-07 11:08:16.382972: 5323
2026-02-07 11:08:17.384595: 5323
2026-02-07 11:08:18.386227: 5223
2026-02-07 11:08:19.387844: 5323
2026-02-07 11:08:20.389452: 5323
2026-02-07 11:08:21.391068: 5323
2026-02-07 11:08:22.392718: 5323
2026-02-07 11:08:23.393936: 5323
2026-02-07 11:08:24.395188: 5707
2026-02-07 11:08:25.396814: 5323
2026-02-07 11:08:26.398062: 5323
2026-02-07 11:08:27.399676: 5323
2026-02-07 11:08:28.401266: 5323
2026-02-07 11:08:29.402525: 5707
2026-02-07 11:08:30.404187: 5323
2026-02-07 11:08:31.405814: 5223
2026-02-07 11:08:32.407075: 5223
2026-02-07 11:08:33.408687: 5122
2026-02-07 11:08:34.410307: 5323
2026-02-07 11:08:35.411598: 5122
2026-02-07 11:08:36.413209: 5707
2026-02-07 11:08:37.414824: 5323
2026-02-07 11:08:38.416115: 5323
2026-02-07 11:08:39.417737: 5323
2026-02-07 11:08:40.419352: 5323
2026-02-07 11:08:41.420980: 5323
2026-02-07 11:08:42.422606: 5323
2026-02-07 11:08:43.424251: 5122
2026-02-07 11:08:44.425869: 5122
2026-02-07 11:08:45.427514: 5122
2026-02-07 11:08:46.429153: 5323
2026-02-07 11:08:47.430780: 5323
2026-02-07 11:08:48.432436: 5323
2026-02-07 11:08:49.433690: 5323
2026-02-07 11:08:50.435333: 5323
2026-02-07 11:08:51.436971: 5223
2026-02-07 11:08:52.438614: 5222
2026-02-07 11:08:53.440275: 5122
2026-02-07 11:08:54.441535: 5323
2026-02-07 11:08:55.443177: 5323
2026-02-07 11:08:56.444430: 5323
2026-02-07 11:08:57.446072: 5323
2026-02-07 11:08:58.447726: 5323
2026-02-07 11:08:59.449335: 5323
2026-02-07 11:09:00.450943: 5323
2026-02-07 11:09:01.452552: 6957
2026-02-07 11:09:02.454153: 5707
2026-02-07 11:09:03.455770: 5323
2026-02-07 11:09:04.457402: 5323
2026-02-07 11:09:05.459019: 5323
